指標類型,指標名稱,數值,百分比,評估
檢測任務,Bbox MAE,0.059,5.90%,✅ 優秀
檢測任務,Mean IoU,0.0421,4.21%,⚠️ 需要改進
檢測任務,mAP@0.5,0.0421,4.21%,⚠️ 需要改進
檢測任務,mAP@0.75,0.0,0.00%,❌ 較差
檢測任務,Precision@0.5,0.0421,4.21%,⚠️ 需要改進
檢測任務,Recall@0.5,1.0,100.00%,✅ 優秀
檢測任務,F1-Score@0.5,0.0808,8.08%,⚠️ 需要改進
分類任務,整體準確率,0.8558,85.58%,✅ 優秀
分類任務,加權Precision,0.8558,85.58%,✅ 優秀
分類任務,加權Recall,0.8558,85.58%,✅ 優秀
分類任務,加權F1-Score,0.8558,85.58%,✅ 優秀
分類任務,宏觀Precision,0.8558,85.58%,✅ 優秀
分類任務,宏觀Recall,0.8558,85.58%,✅ 優秀
分類任務,宏觀F1-Score,0.8558,85.58%,✅ 優秀
